Tamanho	MS	QS
385000	0,143791	0,130863
386000	0,144977	0,12651
387000	0,143742	0,12968
388000	0,144001	0,128259
389000	0,144863	0,129367
390000	0,146107	0,128106
391000	0,146698	0,128855
392000	0,145864	0,128205
393000	0,146548	0,131058
394000	0,147714	0,130201
395000	0,147986	0,131998
396000	0,148007	0,129989
397000	0,149024	0,130497
398000	0,148802	0,131078
399000	0,149734	0,132481
400000	0,14983	0,132466
401000	0,151036	0,131885
402000	0,151391	0,13301
403000	0,151833	0,13438
404000	0,152414	0,133218
405000	0,152922	0,134767
406000	0,153598	0,135916
407000	0,154535	0,135209
408000	0,15508	0,134906
409000	0,157387	0,139319
410000	0,154566	0,136707
411000	0,155251	0,138734
412000	0,156187	0,136927
413000	0,156409	0,137045
414000	0,156431	0,137494
415000	0,156649	0,138805
416000	0,157106	0,138172
417000	0,157886	0,138809
418000	0,1594	0,138948
419000	0,159463	0,139602
420000	0,158912	0,139339
421000	0,15852	0,140705
422000	0,159563	0,140538
423000	0,159912	0,140744
424000	0,159656	0,141851
425000	0,160675	0,143514
426000	0,160251	0,14249
427000	0,161371	0,142209
428000	0,16188	0,14267
429000	0,161666	0,14268
430000	0,162438	0,143445
431000	0,161824	0,145849
432000	0,163424	0,143692
433000	0,164011	0,146062
434000	0,16435	0,14467
435000	0,165076	0,14503
436000	0,165358	0,146004
437000	0,16495	0,1453
438000	0,165408	0,145892
439000	0,166387	0,147119
440000	0,167692	0,14799
441000	0,166721	0,149488
442000	0,168305	0,148208
443000	0,168627	0,148083
444000	0,169716	0,148373
445000	0,168662	0,148934
446000	0,16942	0,150142
447000	0,169348	0,149736
448000	0,170121	0,153852
449000	0,169727	0,149832
450000	0,17043	0,150674
451000	0,171687	0,150972
452000	0,171309	0,150979
453000	0,172473	0,151712
454000	0,171965	0,153738
455000	0,172665	0,152511
456000	0,172132	0,153065
457000	0,174669	0,153156
458000	0,175331	0,15482
459000	0,174826	0,153211
460000	0,175865	0,155012
461000	0,173242	0,155138
462000	0,175903	0,155687
463000	0,175469	0,15522
464000	0,177646	0,154476
465000	0,177859	0,157247
466000	0,177754	0,156724
467000	0,179037	0,15799
468000	0,179095	0,160041
469000	0,178492	0,157607
470000	0,178341	0,159888
471000	0,17898	0,159259
472000	0,179284	0,157788
473000	0,179731	0,159193
474000	0,180588	0,158915
475000	0,180911	0,160666
476000	0,1821	0,159998
477000	0,183363	0,160414
478000	0,183474	0,159767
479000	0,183925	0,16394
480000	0,183034	0,161191
481000	0,183958	0,16292
482000	0,183985	0,16306
483000	0,184373	0,162741
484000	0,184503	0,163315
485000	0,18506	0,164314
486000	0,185972	0,163828
487000	0,187021	0,163362
488000	0,186423	0,16384
489000	0,186818	0,164608
490000	0,18897	0,165106
491000	0,188147	0,166067
492000	0,188412	0,165468
493000	0,188938	0,165954
494000	0,18961	0,167107
495000	0,193838	0,166671
496000	0,190911	0,165969
497000	0,191756	0,167232
498000	0,1925	0,169607
499000	0,193319	0,169025
500000	0,191891	0,17007
501000	0,19411	0,168671
502000	0,192482	0,168666
503000	0,193813	0,168846
504000	0,194651	0,169819
505000	0,194567	0,170472
506000	0,196502	0,170241
507000	0,195955	0,170103
508000	0,196388	0,171291
509000	0,19609	0,174573
510000	0,197044	0,172405
511000	0,196773	0,173196
512000	0,196686	0,172542
513000	0,197262	0,172701
514000	0,196613	0,174929
515000	0,196791	0,174331
516000	0,19852	0,173413
517000	0,199167	0,17564
518000	0,19893	0,175059
519000	0,200312	0,17623
520000	0,20029	0,17878
521000	0,201848	0,17726
522000	0,2015	0,175585
523000	0,20119	0,176889
524000	0,201193	0,176379
525000	0,201779	0,179088
526000	0,202185	0,176955
527000	0,203523	0,178421
528000	0,2045	0,178282
529000	0,204699	0,178442
530000	0,205712	0,181244
531000	0,205503	0,178899
532000	0,206984	0,179962
533000	0,206511	0,182132
534000	0,206387	0,182636
535000	0,207724	0,18142
536000	0,207452	0,181879
537000	0,20881	0,183861
538000	0,208725	0,183206
539000	0,209155	0,183087
540000	0,209538	0,184338
541000	0,210552	0,18416
542000	0,210087	0,18403
543000	0,210692	0,185172
544000	0,210944	0,18589
545000	0,211856	0,184831
546000	0,212063	0,184912
547000	0,212317	0,185587
548000	0,212193	0,185819
549000	0,214076	0,187681
550000	0,214657	0,187026
551000	0,213531	0,186947
552000	0,214935	0,188678
553000	0,215987	0,188516
554000	0,215693	0,18912
555000	0,216161	0,190976
556000	0,216836	0,189312
557000	0,216963	0,190467
558000	0,217156	0,190762
559000	0,217697	0,191708
560000	0,218026	0,190402
561000	0,218899	0,191598
562000	0,21902	0,190878
563000	0,219628	0,192708
564000	0,221122	0,195871
565000	0,221469	0,192646
566000	0,221984	0,197425
567000	0,220413	0,196932
568000	0,220856	0,193217
569000	0,221084	0,194615
570000	0,221493	0,197182
571000	0,222406	0,194534
572000	0,223172	0,194929
573000	0,225327	0,196842
574000	0,223881	0,196141
575000	0,223172	0,195869
576000	0,225342	0,19775
577000	0,224879	0,197355
578000	0,224704	0,197096
579000	0,224661	0,199508
580000	0,224856	0,199071
581000	0,22491	0,200189
582000	0,225468	0,199412
583000	0,225772	0,199457
584000	0,225731	0,198234
585000	0,226846	0,200581
586000	0,227224	0,20473
587000	0,232531	0,203656
588000	0,231314	0,203862
589000	0,228388	0,20448
590000	0,228224	0,204438
591000	0,229858	0,204421
592000	0,229186	0,202527
593000	0,230348	0,203514
594000	0,22956	0,203781
595000	0,229885	0,203385
596000	0,231927	0,205245
597000	0,231867	0,205077
598000	0,232889	0,205943
599000	0,233645	0,205666
600000	0,23465	0,206055
601000	0,234919	0,204838
602000	0,235576	0,205806
603000	0,234943	0,207643
604000	0,234994	0,208056
605000	0,234929	0,206871
606000	0,236528	0,207411
607000	0,237855	0,207511
608000	0,237112	0,208683
609000	0,235862	0,209548
610000	0,238445	0,212022
611000	0,239171	0,20997
612000	0,238111	0,212494
613000	0,239579	0,213062
614000	0,238628	0,211313
615000	0,239192	0,21088
616000	0,239351	0,210923
617000	0,240101	0,214022
618000	0,240746	0,211783
619000	0,241332	0,212171
620000	0,241365	0,212005
621000	0,2418	0,213501
622000	0,241388	0,213204
623000	0,243155	0,214412
624000	0,243433	0,216224
625000	0,242517	0,214382
626000	0,243543	0,215683
627000	0,244426	0,216195
628000	0,245122	0,216865
629000	0,244898	0,218983
630000	0,24474	0,218741
631000	0,246535	0,2159
632000	0,245397	0,218476
633000	0,245758	0,216957
634000	0,246126	0,21732
635000	0,247076	0,217539
636000	0,24826	0,218616
637000	0,247894	0,220168
638000	0,248894	0,219534
639000	0,25002	0,220633
640000	0,249083	0,219553
641000	0,248898	0,219762
642000	0,248627	0,221683
643000	0,250376	0,222723
644000	0,251524	0,221753
645000	0,250383	0,220235
646000	0,251947	0,220842
647000	0,252191	0,222905
648000	0,251689	0,222696
649000	0,251033	0,224552
650000	0,252438	0,225929
651000	0,252833	0,225248
652000	0,252988	0,224485
653000	0,252884	0,22441
654000	0,252924	0,225073
655000	0,25468	0,224423
656000	0,253432	0,224487
657000	0,254567	0,225841
658000	0,255305	0,227569
659000	0,254807	0,226751
660000	0,255411	0,226838
661000	0,257189	0,228438
662000	0,256307	0,227426
663000	0,257546	0,227914
664000	0,257235	0,228945
665000	0,258393	0,230709
666000	0,261039	0,249195
667000	0,26057	0,229232
668000	0,26052	0,230507
669000	0,261702	0,229416
670000	0,261727	0,230669
671000	0,262617	0,232044
672000	0,261009	0,230178
673000	0,261856	0,232715
674000	0,264176	0,232843
675000	0,26245	0,240417
676000	0,268431	0,237303
677000	0,2656	0,232756
678000	0,265741	0,234863
679000	0,270193	0,234262
680000	0,264796	0,234772
681000	0,266749	0,236385
682000	0,265736	0,23522
683000	0,266825	0,235909
684000	0,267481	0,235717
685000	0,268874	0,237661
686000	0,269624	0,236111
687000	0,269282	0,239931
688000	0,269259	0,239487
689000	0,269418	0,237118
690000	0,270515	0,238333
691000	0,271154	0,237971
692000	0,271183	0,23972
693000	0,27143	0,23894
694000	0,273096	0,240015
695000	0,272153	0,240913
696000	0,272972	0,241412
697000	0,272849	0,242013
698000	0,273456	0,242139
699000	0,274795	0,242417
700000	0,275238	0,242458
701000	0,274565	0,242827
702000	0,275471	0,2422
703000	0,276179	0,243641
704000	0,275802	0,243594
705000	0,275441	0,243939
706000	0,276911	0,246314
707000	0,278057	0,246142
708000	0,278376	0,245986
709000	0,278323	0,250112
710000	0,277998	0,24562
711000	0,278352	0,245993
712000	0,279623	0,246273
713000	0,279044	0,247172
714000	0,278666	0,248547
715000	0,278541	0,246826
716000	0,281497	0,247212
717000	0,280454	0,24804
718000	0,28017	0,248406
719000	0,281363	0,249226
720000	0,281208	0,248255
721000	0,281968	0,248144
722000	0,288534	0,252693
723000	0,281654	0,249171
724000	0,282957	0,251092
725000	0,284104	0,25294
726000	0,284573	0,251844
727000	0,283505	0,251242
728000	0,283757	0,250613
729000	0,284837	0,252054
730000	0,284955	0,252269
731000	0,285534	0,253541
732000	0,28672	0,253741
733000	0,286025	0,253943
734000	0,288216	0,253948
735000	0,288312	0,254751
736000	0,287329	0,25679
737000	0,287717	0,255024
738000	0,289628	0,255602
739000	0,289514	0,258061
740000	0,290637	0,256102
741000	0,290536	0,259332
742000	0,289299	0,25717
743000	0,290283	0,258059
744000	0,290684	0,259592
745000	0,290956	0,258349
746000	0,292457	0,258527
747000	0,293243	0,259483
748000	0,293163	0,261034
749000	0,293297	0,258784
750000	0,294943	0,26215
751000	0,292828	0,261339
752000	0,293682	0,261733
753000	0,293321	0,260681
754000	0,295525	0,261676
755000	0,295449	0,263013
756000	0,302976	0,270239
757000	0,296054	0,261897
758000	0,298935	0,264708
759000	0,297667	0,265535
760000	0,298862	0,262288
761000	0,298441	0,265485
762000	0,297216	0,264415
763000	0,297886	0,26563
764000	0,298661	0,264253
765000	0,300222	0,267359
