Tamanho	Merge	Insertion
853	0.000124	0.000561
854	0.00013	0.000391
855	0.000127	0.000391
856	0.000129	0.000446
857	0.000132	0.000411
858	0.00013	0.000434
859	0.000128	0.000387
860	0.000128	0.000382
861	0.000128	0.0004
862	0.000127	0.00038
863	0.000123	0.000396
864	0.000137	0.00039
865	0.000122	0.000384
866	0.00012	0.000387
867	0.000123	0.000398
868	0.000123	0.000394
869	0.000122	0.0004
870	0.000122	0.000409
871	0.000123	0.000436
872	0.000123	0.000378
873	0.000122	0.000413
874	0.000123	0.0004
875	0.00012	0.000416
876	0.000123	0.000457
877	9.1e-05	0.000405
878	9.2e-05	0.000423
879	0.000108	0.000413
880	9.2e-05	0.000414
881	9.1e-05	0.000406
882	9.1e-05	0.000484
883	0.000138	0.000424
884	0.000121	0.000422
885	0.000124	0.000419
886	0.000112	0.000451
887	0.000125	0.000436
888	0.000124	0.000415
889	0.000125	0.000436
890	0.000124	0.000434
891	0.000124	0.000425
892	0.000125	0.000425
893	0.000116	0.000727
894	0.000125	0.000579
895	0.000134	0.00043
896	0.000132	0.00045
897	0.000131	0.000436
898	0.000131	0.000434
899	0.000133	0.000559
900	0.000131	0.00043
901	0.000132	0.000435
902	0.000118	0.000459
903	0.000131	0.00043
904	0.000131	0.000428
905	0.000169	0.000429
906	0.000148	0.000451
907	0.000133	0.000449
908	0.000133	0.000438
909	0.000133	0.000446
910	0.00012	0.000533
911	0.000153	0.000541
912	0.000134	0.000498
913	0.000135	0.000463
914	0.000135	0.000435
915	0.000136	0.00049
916	0.000123	0.000449
917	0.000136	0.000441
918	0.000136	0.00043
919	0.000136	0.000458
920	0.000134	0.000467
921	0.000135	0.000446
922	0.000133	0.000441
923	0.000134	0.000461
924	0.000135	0.000464
925	0.000137	0.000486
926	0.000135	0.000452
927	0.000135	0.000446
928	0.000135	0.000453
929	0.000135	0.000461
930	0.000135	0.000451
931	0.000136	0.000448
932	0.000136	0.000548
933	9.6e-05	0.000464
934	9.6e-05	0.00048
935	9.7e-05	0.000459
936	9.8e-05	0.000489
937	9.7e-05	0.000521
938	0.000131	0.000539
939	0.000138	0.000468
940	0.000137	0.00046
941	0.000137	0.000444
942	0.000138	0.000706
943	0.000178	0.000511
944	0.000136	0.000519
945	0.000135	0.00049
946	0.000138	0.000495
947	0.000139	0.000601
948	0.000136	0.000465
949	0.000136	0.000489
950	0.000136	0.00054
951	0.000138	0.000487
952	0.000138	0.000471
953	0.000137	0.000483
954	0.000138	0.000475
955	0.000137	0.000475
956	0.000138	0.000505
957	0.000155	0.000503
958	0.000162	0.00051
959	0.000139	0.000489
960	0.000138	0.000478
961	0.000139	0.000487
962	0.000139	0.000492
963	0.000151	0.000516
964	0.00011	0.000624
965	0.000141	0.000516
966	0.000142	0.000504
967	0.000144	0.000518
968	0.000141	0.000557
969	0.00013	0.000525
970	0.000129	0.00052
971	0.000129	0.000544
972	0.000129	0.000538
973	0.000129	0.000524
974	0.000129	0.000544
975	0.00014	0.000505
976	0.000142	0.000502
977	0.000141	0.000504
978	0.000141	0.000512
979	0.000141	0.000521
980	0.000141	0.000555
981	0.000142	0.000496
982	0.000141	0.000514
983	0.000127	0.000518
984	0.000142	0.000501
985	0.000141	0.000515
986	0.000141	0.000576
987	0.000142	0.000607
988	0.000106	0.000786
989	0.000167	0.000514
990	0.000104	0.00053
991	0.000103	0.000531
992	0.00016	0.000569
993	0.000153	0.000529
994	0.000142	0.000542
995	0.000143	0.000537
996	0.000151	0.000514
997	0.000142	0.000575
998	0.000143	0.000519
999	0.000144	0.000538
